Data Export Generated on Wed Feb 19 09:27:31 PST 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 11449351,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Intro,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
109814405,Completed,134.126.113.23,9/13/23 12:20,0,159,1,,,,,,,,,US,VA,,9/12/23,Tuesday,5-7 pm,7,5,0,0,0,1,10-15 min,Coding bat and the ordering of if statements - 149 Vs code wasn’t loading properly - 261 
109832027,Completed,134.126.113.115,9/13/23 18:04,0,103,1,,,,,,,,,US,VA,,9/13/23,Wednesday,5-7 pm,7,4,0,0,1,2,12 minutes,"iterators, 261 reading a file"
109839277,Completed,98.244.113.74,9/13/23 21:36,0,91,1,,,,,,,,,US,VA,,9/13/23,Wednesday,7-9 pm,11,5,0,3,3,0,15,149 - calcualting final grades 240 - iterators 261 - infinite loops 
109839829,Completed,2605:ad80:20:2900:99a2:6dc:89d0:823f,9/13/23 22:06,0,135,1,,,,,,,,,US,VA,,9/13/23,Wednesday,9-11 pm,1,4,0,0,0,1,20-30 minutes,CS 149: Understanding if statements and general issues with programming logic CS 261: p0 file error (was easily resolved)
109883126,Completed,134.126.113.17,9/14/23 17:53,0,289,1,,,,,,,,,US,VA,,9/14/23,Thursday,5-7 pm,7,0,0,0,4,2,25 minutes,Helping 240 students understanding iterators. 261 students having trouble with getopt(). Also 1 345 student came in with questions about using packages and I provided him a brief explanation of what packages are in general.
109888322,Completed,134.126.113.115,9/14/23 20:04,0,212,1,,,,,,,,,US,VA,,9/14/23,Thursday,7-9 pm,7,0,2,0,4,1,15 minutes,"iterators (yes, its that time of the semester)"
109932565,Completed,199.87.199.101,9/15/23 18:59,0,75,1,,,,,,,,,US,VA,,9/14/23,Thursday,9-11 pm,3,1,0,0,0,2,15-20 minutes,"261 first PA, and then 149 homework"
109977552,Completed,2605:ad80:20:2b64:d147:8b60:345f:32ea,9/17/23 18:32,0,227,1,,,,,,,,,US,VA,,9/17/23,Sunday,5-7 pm,36,11,12,0,13,0,10-15min,149 - how to use functions 159 - writing the constructors and check-style 240 - iterators
109978867,Completed,134.126.113.120,9/17/23 19:47,0,650,1,,,,,,,,,US,VA,,9/17/23,Sunday,7-9 pm,13,5,3,0,5,0,The TAs were much more generous with time; 15-30 minutes,the biggest question was revolving around the remove portion of an iterator for 240
109981056,Completed,2605:ad80:20:2816:453e:3516:d735:b01b,9/17/23 21:59,0,264,1,,,,,,,,,US,VA,,9/17/23,Sunday,9-11 pm,5,0,4,0,1,0,20 min,159 - Strange printing mismatch with gradescope 240 - dynamic array iterator remove
109997977,Completed,98.244.113.74,9/18/23 09:56,0,128,1,,,,,,,,,US,VA,,9/17/23,Sunday,3-5 pm Sunday only,13,3,7,0,3,0,15,"149-understanding functions 159-general PA understanding, constructors, types 240-iterators"
110026603,Completed,134.126.113.17,9/18/23 18:01,0,105,1,,,,,,,,,US,VA,,9/18/23,Monday,5-7 pm,22,12,1,0,9,0,15 minutes,149: function calls 240: Iterator questions
110030914,Completed,134.126.113.102,9/18/23 20:01,0,182,1,,,,,,,,,US,VA,,9/18/23,Monday,7-9 pm,20,12,1,0,7,0,15 mins,"149 - hw 4.1, 4.3 159 - java syntax 240 - pa interators"
110085426,Completed,134.126.113.120,9/19/23 20:03,0,139,1,,,,,,,,,US,VA,,9/19/23,Tuesday,7-9 pm,17,9,1,0,7,0,We spent 30 minutes to an hour with 240 students.,"For 240, it was iterators. The entire part of iterators for part one was the biggest issue."
110088829,Completed,73.31.123.109,9/19/23 22:03,0,829,1,,,,,,,,,US,VA,,9/19/23,Tuesday,9-11 pm,5,4,0,0,1,0,30 minutes,149: modulo and division operators 240: How do iterators work
110140961,Completed,134.126.113.115,9/20/23 17:58,0,163,1,,,,,,,,,US,VA,,9/20/23,Wednesday,5-7 pm,10,6,1,0,3,0,15 minutes,Iterators (again) and docstrings
110149423,Completed,2605:ad80:20:2900:5dd4:d9ff:348f:36,9/20/23 22:01,0,126,1,,,,,,,,,US,VA,,9/20/23,Wednesday,9-11 pm,2,5,1,0,1,0,15 minutes,"CS 149 - function confusion, problems with gradescope, and just general python confusion (such as mains and correct printing) CS 159 - enums CS 240 - iterator class not recognized"
110167586,Completed,98.244.113.74,9/21/23 08:22,0,93,1,,,,,,,,,US,VA,,9/20/23,Wednesday,7-9 pm,16,10,4,0,2,0,12,149-understanding the specs of the hw problems 159- understanding enums 240 - generics
110199067,Completed,2600:387:f:7436::3,9/21/23 18:11,0,163,1,,,,,,,,,US,OK,,9/21/23,Thursday,5-7 pm,5,3,9,0,2,0,10 - 15 minutes ,"149- general python confused (ex. /' character, printing, etc) 159- enums, writing python-like Java code that doesn't work, fully reading the homework and understanding it 240- Iterators "
110202706,Completed,134.126.113.115,9/21/23 20:04,0,77,1,,,,,,,,,US,VA,,9/21/23,Thursday,7-9 pm,5,0,1,0,4,0,20 minutes,Iterators again
110298040,Completed,134.126.141.147,9/24/23 17:25,0,99,1,,,,,,,,,US,,,9/24/23,Sunday,3-5 pm Sunday only,12,2,10,0,0,0,15,"149 - difference between is and == 159 - initalizing v declaring, classes, understanding enums"
110301828,Completed,52.124.33.193,9/24/23 21:59,0,187,1,,,,,,,,,US,VA,,9/24/23,Sunday,9-11 pm,5,0,4,0,1,0,20 minutes,"159 - Gradescope style errors, Fencing Homework, Explicit value constructors and how they work 240 - P1 iterators"
110358367,Completed,134.126.113.17,9/25/23 17:58,0,129,1,,,,,,,,,US,VA,,9/25/23,Monday,5-7 pm,13,9,3,0,1,0,15 minutes ,"149: How to use dictionaries, tuples, and lists 159: How to write test cases/understanding directions"
110363385,Completed,134.126.113.102,9/25/23 20:01,0,213,1,,,,,,,,,US,VA,,9/25/23,Monday,7-9 pm,9,8,0,0,1,0,10 mins,"149 - sort_short, tuples, == vs is, print vs return, compare assignment, extraneous commas in ifs and assignments 240 - iterators "
110448010,Completed,73.31.123.109,9/26/23 21:59,0,145,1,,,,,,,,,US,VA,,9/26/23,Tuesday,9-11 pm,8,3,4,0,0,1,30 minutes,"149: Syntax errors, help with understanding the assignment directions, and how to use collections 159: Understanding test coverage and helping with branches 261: Pointers"
110523422,Completed,134.126.113.115,9/27/23 18:06,0,65,1,,,,,,,,,US,VA,,9/27/23,Wednesday,5-7 pm,13,8,3,0,2,0,15 minutes,procrastination
110527743,Completed,134.126.113.120,9/27/23 19:57,0,640,1,,,,,,,,,US,VA,,9/27/23,Wednesday,7-9 pm,24,11,3,0,7,3,10-30 minutes,"For 149, it was tuple manipulation and how to use a tuple. For 159, it was jUnit. For 240, it was the remove portion of the iterator."
110530551,Completed,2605:ad80:20:2900:a816:f2b7:9492:65dd,9/27/23 21:52,0,436,1,,,,,,,,,US,VA,,9/27/23,Wednesday,9-11 pm,2,4,1,0,2,0,30 minutes,"149 - general python stuff, small error 159 - JUnit Testing 240 - fourneighbors iterator and general eclipse debugging problems"
110606876,Completed,134.126.113.37,9/28/23 18:01,0,241,1,,,,,,,,,US,VA,,9/28/23,Thursday,5-7 pm,5,4,5,0,1,3,15-20,149: random python homework issues(for loops) 159: JUnit testing 240: calculating exact runtime of function 261: project 1 issues
110610925,Completed,134.126.113.115,9/28/23 20:00,0,186,1,,,,,,,,,US,VA,,9/28/23,Thursday,7-9 pm,17,6,6,0,0,5,16,debugging in c and null pointers string stuff in java 
110658049,Completed,2605:ad80:20:2b64:ec9d:9920:559c:8a89,9/29/23 22:16,0,813,1,,,,,,,,,US,VA,,9/24/23,Sunday,5-7 pm,25,7,13,0,3,2,10-15min,240 - confusion on how to go about making an iterator 159 - working with enums and how it works when the array argument of the constructor was followed by '...' 
110658190,Completed,2605:ad80:20:2b64:ec9d:9920:559c:8a89,9/29/23 22:30,0,649,1,,,,,,,,,US,VA,,9/26/23,Tuesday,5-7 pm,27,21,2,0,1,3,10-15min,"149 - There was a problem with the grade scope so many students kept failing even though their code was correct, we had one student piazza and there was a post about it There were many students who were just having a hard time piecing together the ideas behind the assignments and how to go about the logic. "
110698758,Completed,134.126.113.120,10/1/23 19:59,0,174,1,,,,,,,,,US,VA,,10/1/23,Sunday,7-9 pm,17,1,16,0,0,0,15-20 minutes,"For 159, people did not know how to test or even what the assignment was even about. Most people were just coding without even knowing what was going on. Also, try/catch statements."
110699519,Completed,2607:fb91:840:40e2:e00f:c4cc:c224:14c3,10/1/23 20:58,0,50,1,,,,,,,,,US,MA,,10/1/23,Sunday,3-5 pm Sunday only,16,6,10,0,0,0,15,"149-loops?? What are they 159- junit testing, making an object, understand private attributes "
110700314,Completed,52.124.33.193,10/1/23 22:00,0,102,1,,,,,,,,,US,VA,,10/1/23,Sunday,9-11 pm,6,1,5,0,0,0,25 mins,"149 - Loops, Enumeration 159 - JUnit Homework, Reading and Understanding Directions"
110748750,Completed,2600:1003:b842:bf75:40a2:14da:f71d:f48e,10/2/23 18:02,0,139,1,,,,,,,,,US,VA,,10/2/23,Monday,5-7 pm,19,19,0,0,0,0,15 minutes,Understanding loops When to return Adding things to a list/string/dictionary Difference between printing and returning 
110750770,Completed,134.126.113.12,10/2/23 18:59,0,97,1,,,,,,,,,US,VA,,10/2/23,Monday,7-9 pm,9,9,0,0,0,0,15 Mins,"149 - for loops, how returns work They can define for loops, but cannot use them to solve a problem"
110812035,Completed,134.126.113.120,10/3/23 20:06,0,120,1,,,,,,,,,US,VA,,10/3/23,Tuesday,7-9 pm,34,32,2,0,0,0,10-20 minutes,"For 149, it was HW 5; specifically, the last two problems and just the logic behind them, not so much the code material "
110848843,Completed,134.126.113.17,10/4/23 13:43,0,98,1,,,,,,,,,US,VA,,10/3/23,Tuesday,9-11 pm,2,2,0,0,0,0,25 minutes,149: Trouble understanding loops
110862104,Completed,134.126.113.115,10/4/23 17:54,0,81,1,,,,,,,,,US,VA,,10/4/23,Wednesday,5-7 pm,6,6,0,0,0,0,12,loops in 149
110869239,Completed,2605:ad80:20:2900:e469:ed0d:9e06:c221,10/4/23 21:59,0,156,1,,,,,,,,,US,VA,,10/4/23,Wednesday,9-11 pm,1,1,1,0,0,0,20 minutes,CS 149 - loops CS 159 - deep vs shallow copy
110902679,Completed,134.126.113.120,10/5/23 12:22,0,57,1,,,,,,,,,US,VA,,10/4/23,Sunday,3-5 pm Sunday only,16,15,1,0,0,0,10,"149-how do loops work, what is a loop, etc 159- general questions "
110952293,Completed,134.126.113.37,10/5/23 17:49,0,568,1,,,,,,,,,US,VA,,10/5/23,Thursday,5-7 pm,1,0,5,0,0,0,10 minutes,"CS 159 - fundamental lack understanding of how to make objects (classes in Java), out of bounds errors"
110965045,Completed,134.126.113.115,10/5/23 19:46,0,82,1,,,,,,,,,US,VA,,10/5/23,Thursday,7-9 pm,1,1,0,0,0,0,5 minutes,na
111148820,Completed,134.126.141.147,10/8/23 16:00,0,170,1,,,,,,,,,US,,,10/8/23,Sunday,3-5 pm Sunday only,14,11,3,0,0,0,10,"149: What are imports, how to use random, etc. 159: how to use arraylists, what are constructors"
111152755,Completed,134.126.113.120,10/8/23 19:58,0,61,1,,,,,,,,,US,VA,,10/8/23,Sunday,7-9 pm,12,7,5,0,0,0,Around 10-20 minutes,"For 149, it was the first problem in the HW7 set. For 159, it was deep copy."
111155314,Completed,52.124.33.193,10/8/23 21:59,0,167,1,,,,,,,,,US,VA,,10/8/23,Sunday,9-11 pm,7,0,5,0,1,1,15 mins,"159 - Java Syntax, Directions, Constructor/Copy Constructors 240 - Memoizing subset sub 261 - decipheringtests and difs"
111192557,Completed,134.126.113.22,10/9/23 08:23,0,278,1,,,,,,,,,US,VA,,10/8/23,Sunday,5-7 pm,12,6,6,0,0,0,10-15min,"149 - formatting issues, grade scope giving back wrong info in comparison to the spec, fixing tiny logical errors 159 - confusion about deep copies "
111193148,Completed,134.126.113.22,10/9/23 08:28,0,417,1,,,,,,,,,US,VA,,10/1/23,Sunday,5-7 pm,21,10,11,0,0,0,10-15min,"149 - minor logic issues, working with isalpa 159 - testing"
111236739,Completed,134.126.113.17,10/9/23 17:53,0,692,1,,,,,,,,,US,VA,,10/9/23,Monday,5-7 pm,17,11,3,0,0,3,10 minutes,149: returning in the wrong place for while loops and understanding the logic
111246731,Completed,134.126.113.102,10/9/23 19:57,0,231,1,,,,,,,,,US,VA,,10/9/23,Monday,7-9 pm,25,15,6,0,2,2,15 mins,"149 - syntax, 7.4 if statements,variable scoping in loops 159 - enums 240 - recursion 261 - p2 read segment "
111318765,Completed,134.126.113.120,10/10/23 20:01,0,117,1,,,,,,,,,US,VA,,10/10/23,Tuesday,7-9 pm,20,9,7,1,0,3,10-15 minutes,159: inheritance; deep copy v.s. referencing; enums 149: while loops 
111357897,Completed,134.126.113.17,10/11/23 14:51,0,60,1,,,,,,,,,US,VA,,10/10/23,Tuesday,9-11 pm,2,0,0,0,0,2,20,261- issues with pointers and memory allocation
111364738,Completed,134.126.113.115,10/11/23 18:01,0,157,1,,,,,,,,,US,VA,,10/11/23,Wednesday,5-7 pm,8,7,1,0,0,0,13 minutes,while loops 149
111370479,Completed,2605:ad80:20:2900:3dce:551:f3d9:cb46,10/11/23 21:36,0,1412,1,,,,,,,,,US,VA,,10/11/23,Wednesday,9-11 pm,0,0,1,0,0,1,10 minutes,CS 159 - writing try catch CS 261 - formatting for A tests
111406965,Completed,134.126.113.37,10/12/23 17:59,0,312,1,,,,,,,,,US,VA,,10/12/23,Thursday,5-7 pm,1,0,1,0,1,2,15,cs 159 - inheritence cs 240 - linked list cs 261 - stick & on things
111410023,Completed,134.126.113.115,10/12/23 19:59,0,74,1,,,,,,,,,US,VA,,10/12/23,Thursday,7-9 pm,6,0,2,0,1,3,15 min,P2 working with getopt
111430915,Completed,2607:fb91:863:d8e8:c1e9:3a63:7bff:f3e,10/13/23 11:20,0,60,1,,,,,,,,,US,MA,,10/11/23,Wednesday,7-9 pm,23,21,1,0,0,1,10,"149- a lot of syntax issues, knowing what the specs are asking "
111492133,Completed,134.126.113.17,10/15/23 16:01,0,29,1,,,,,,,,,US,VA,,10/15/23,Sunday,3-5 pm Sunday only,1,1,0,0,0,0,5,149 - clarifying a PA spec
111495890,Completed,134.126.113.120,10/15/23 19:52,0,35,1,,,,,,,,,US,VA,,10/15/23,Sunday,7-9 pm,1,0,1,0,0,0,10 minutes,159: writing to a file
111498072,Completed,52.124.33.193,10/15/23 22:00,0,90,1,,,,,,,,,US,VA,,10/15/23,Sunday,9-11 pm,1,0,1,0,0,0,9 mins,"159 - Testing TeethBrush File I/O, the assertEquals was trying to compare objects; the student needed to compare their attributes"
111543815,Completed,134.126.113.17,10/16/23 18:03,0,58,1,,,,,,,,,US,VA,,10/16/23,Monday,5-7 pm,5,3,0,0,2,0,10 minutes,149: Writing python tests 240: linked list methods
111548375,Completed,134.126.113.102,10/16/23 19:54,0,113,1,,,,,,,,,US,VA,,10/16/23,Monday,7-9 pm,5,0,1,0,2,1,15 mins,159 - checkstyle and auto formatting with the wrong formatter 240 - adding to linked list
111901228,Completed,134.126.113.17,10/23/23 17:59,0,105,1,,,,,,,,,US,VA,,10/23/23,Monday,5-7 pm,17,6,11,0,0,0,15 minutes ,159: Lot of issues with super classes and writing tests 149: Using Randint to get the indices of the values 
111907905,Completed,134.126.113.102,10/23/23 20:03,0,212,1,,,,,,,,,US,VA,,10/23/23,Monday,7-9 pm,16,7,9,0,0,0,20 mins,"149 - PA1, random, making tests 159 - opening a file, writing test, checkstyle, testing exceptions "
111911633,Completed,199.87.199.101,10/23/23 22:02,0,69,1,,,,,,,,,US,VA,,10/23/23,Monday,9-11 pm,2,0,3,0,0,0,15 - 30 minutes,159 PA1 testing and file IO 
111960059,Completed,134.126.113.120,10/24/23 19:58,0,64,1,,,,,,,,,US,VA,,10/24/23,Tuesday,7-9 pm,11,3,8,0,0,0,10-15 minutes,159: Reading and Writing methods 149: Quiz review and modules importing
111961766,Completed,134.126.113.22,10/24/23 20:57,0,1286,1,,,,,,,,,US,VA,,10/24/23,Tuesday,5-7 pm,19,14,5,0,0,0,5-10 minutes,"149 - what the purpose of seed was and how to use random.seed(), The logic when checking if a value was valid (returns in the wrong place), given test failing when run locally but passing on grade scope 159 - reading and writing to files, issues with testing not lining up with the writeup "
111963232,Completed,73.31.123.109,10/24/23 22:01,0,117,1,,,,,,,,,US,VA,,10/24/23,Tuesday,9-11 pm,6,2,4,0,0,0,20 minutes,159: How to test code specifically writing to a file 149: Using random
112009803,Completed,134.126.113.115,10/25/23 18:03,0,90,1,,,,,,,,,US,VA,,10/25/23,Wednesday,5-7 pm,14,3,11,0,0,0,10 minutes,testing in junit
112017012,Completed,2605:ad80:20:2900:6026:8e24:50a7:a97a,10/25/23 21:53,0,363,1,,,,,,,,,US,VA,,10/25/23,Wednesday,9-11 pm,3,0,6,0,0,0,15 minutes,CS 159 - JUnit confusion and testing package confusion simple syntax errors
112018939,Completed,73.251.214.183,10/25/23 23:39,0,203,1,,,,,,,,,US,VA,,10/26/23,Wednesday,7-9 pm,53,6,47,0,0,0,7-10 min,"149-seed question 159- junit, processing files, gradescope errors, not knowing how to read your own code, check style "
112074624,Completed,134.126.113.10,10/26/23 17:48,0,383,1,,,,,,,,,US,VA,,10/26/23,Thursday,5-7 pm,1,0,0,0,2,1,10 minutes,CS 240 -nodes and branches CS 261 - bitwise operators 
112079938,Completed,134.126.113.115,10/26/23 20:00,0,114,1,,,,,,,,,US,VA,,10/26/23,Thursday,7-9 pm,2,1,0,1,0,0,20 minutes,Helping one student go trough practice problems in 227
112118846,Completed,134.126.113.110,10/27/23 13:06,0,66,1,,,,,,,,,US,VA,,10/27/23,Thursday,9-11 pm,2,0,1,1,0,0,15-20,"159 PA, 227 proofs"
112176347,Completed,134.126.113.22,10/29/23 16:17,0,113,1,,,,,,,,,US,VA,,10/29/23,Sunday,3-5 pm Sunday only,2,1,1,0,0,0,10 - 20 min,for both 149 and 159 it was just simple logic issues in the way they were thinking about the problem and the conditions in their code
112179343,Completed,2605:ad80:20:2b64:3477:dc6c:c9c6:98c1,10/29/23 19:26,0,255,1,,,,,,,,,US,VA,,10/29/23,Sunday,5-7 pm,8,5,3,0,0,0,10 - 20 min,"149 logic issues with testing and how to run unit test. 159 interfaces vs. abstract classes, understanding uml diagrams and small logic issues in code"
112179766,Completed,134.126.113.17,10/29/23 19:48,0,754,1,,,,,,,,,US,VA,,10/29/23,Sunday,7-9 pm,5,3,3,0,0,0,15 minutes,149: final questions about their projects 159: Questions about how to read and format a CSV file
112181968,Completed,2605:ad80:20:2900:d12d:9fd4:1235:44b9,10/29/23 21:59,0,208,1,,,,,,,,,US,VA,,10/29/23,Sunday,9-11 pm,3,2,1,0,0,0,15 Mins,"149 - assert statements, Small Straight, Understanding the P1 Specs 159 - Closing Scanner"
112237628,Completed,134.126.113.17,10/30/23 18:03,0,105,1,,,,,,,,,US,VA,,10/30/23,Monday,5-7 pm,17,11,6,0,0,0,15 minutes,149: Issues with calculating the straights and two pair 159: questions about inheritance 
112242036,Completed,134.126.113.102,10/30/23 19:59,0,124,1,,,,,,,,,US,VA,,10/30/23,Monday,7-9 pm,12,9,3,0,0,0,10 mins,"149 - understanding how things are scored, small straight, writing test cases 159 - understanding interfaces "
112244788,Completed,199.87.199.101,10/30/23 21:56,0,93,1,,,,,,,,,US,VA,,10/30/23,Monday,9-11 pm,4,2,1,0,0,0,10-15 min,149- dice pa / flake8 and imports 159- interfaces
112304801,Completed,134.126.113.120,10/31/23 20:15,0,130,1,,,,,,,,,US,VA,,10/31/23,Tuesday,7-9 pm,40,38,1,0,0,1,10 to 15 minutes,149: PA1 - straights and pairs 
112351987,Completed,134.126.113.17,11/1/23 08:18,0,147,1,,,,,,,,,US,VA,,10/31/23,Tuesday,9-11 pm,10,8,2,0,0,0,15 minutes,149: issues with understanding straits and pairs logic 159: fromCSV() function and how to use a scanner and delimiter
