Data Export Generated on Wed Mar 12 06:35:08 PDT 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 12435362,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,shift,lift,tift,biffed,Custom Variable 5,Respondent Email,Email List,Country Code,Region,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,How many CS 149 students?,How many CS 159 Students?,How many CS 227 Students?,How many CS 240 Students?,How many CS 261 Students?,Comment on how long TAs generally spent with a given student during your shift.
184432908,Completed,2601:5c4:c700:c3d0:f548:bd89:5c98:dfd6,9/8/24 19:59,0,47,1,,,,,,,,,US,VA,9/8/24,Sunday,9-11 pm,3,0,2,0,1,0,10-15 mins; helped a student for half an hour for one issue 
184447027,Completed,134.126.113.36,9/9/24 06:20,0,228,1,,,,,,,,,US,VA,9/8/24,Sunday,3-5 pm Sunday only,12,0,0,0,10,2,10-20 minutes
184447145,Completed,134.126.113.36,9/9/24 06:23,0,99,1,,,,,,,,,US,VA,9/8/24,Sunday,7-9 pm,8,0,0,0,8,0,15 - 25 minutes
184474764,Completed,134.126.113.125,9/9/24 16:00,0,669,1,,,,,,,,,US,VA,9/9/24,Monday,5-7 pm,13,3,3,0,7,0,15-20min
184478415,Completed,134.126.113.20,9/9/24 17:56,0,81,1,,,,,,,,,US,VA,9/9/24,Monday,7-9 pm,10,0,0,0,4,6,10-15 minutes
184479930,Completed,2a09:bac3:c5d8:de1::162:cf,9/9/24 19:01,0,52,1,,,,,,,,,US,VA,9/5/24,Thursday,9-11 pm,3,0,0,0,3,0,10 mins
184481002,Completed,75.102.137.39,9/9/24 19:59,0,279,1,,,,,,,,,US,VA,9/9/24,Monday,9-11 pm,5,0,0,0,5,0,10-20 minutes
184524051,Completed,2601:5c4:c700:c3d0:ad84:3f49:cfa2:1dd,9/10/24 20:00,0,86,1,,,,,,,,,US,VA,9/10/24,Tuesday,9-11 pm,2,0,0,0,1,1,15-20 minutes
184563190,Completed,75.102.137.39,9/11/24 18:44,0,249,1,,,,,,,,,US,VA,9/11/24,Tuesday,7-9 pm,17,1,1,0,8,7,10-15 minutes
184564513,Completed,199.87.198.61,9/11/24 20:04,0,109,1,,,,,,,,,US,VA,9/11/24,Wednesday,9-11 pm,2,0,0,0,1,1,15min
184584277,Completed,134.126.153.225,9/12/24 10:27,0,282,1,,,,,,,,,US,VA,9/11/24,Wednesday,5-7 pm,11,3,2,0,1,5,15 mins
184584277,Completed,134.126.153.225,9/12/24 10:27,0,282,2,,,,,,,,,US,VA,,Wednesday,7-9 pm,,,,,,,
184598075,Completed,134.126.141.32,9/12/24 18:05,0,392,1,,,,,,,,,US,VA,9/12/24,Thursday,7-9 pm,7,2,3,0,0,2,15-20 minutes
184614772,Completed,134.126.113.109,9/13/24 08:12,0,161,1,,,,,,,,,US,VA,9/12/24,Thursday,5-7 pm,6,1,2,0,0,3,15 - 20 minutes
184669939,Completed,134.126.141.39,9/15/24 13:48,0,484,1,,,,,,,,,US,VA,9/15/24,Sunday,3-5 pm Sunday only,2,0,4,0,1,1,Roughly 20 minutes
184671517,Completed,134.126.141.39,9/15/24 15:59,0,485,1,,,,,,,,,US,VA,9/15/24,Sunday,5-7 pm,5,0,4,0,0,1,5-10 minutes
184675394,Completed,73.99.62.213,9/15/24 20:01,0,82,1,,,,,,,,,US,VA,9/15/24,Sunday,9-11 pm,2,0,2,0,0,0,2 minutes
184719193,Completed,134.126.113.20,9/16/24 15:58,0,140,1,,,,,,,,,US,VA,9/16/24,Monday,5-7 pm,13,7,6,0,0,0,10-15 minutes
184724638,Completed,75.102.137.39,9/16/24 19:58,0,193,1,,,,,,,,,US,VA,9/16/24,Monday,9-11 pm,1,0,0,0,1,0,5 minutes
184761960,Completed,134.126.141.39,9/17/24 16:01,0,145,1,,,,,,,,,US,VA,9/17/24,Tuesday,5-7 pm,13,2,1,0,8,2,10-15 minutes
184764839,Completed,134.126.141.39,9/17/24 18:09,0,4044,1,,,,,,,,,US,VA,9/17/24,Tuesday,7-9 pm,4,4,1,0,2,3,10 - 15 minutes
184766542,Completed,2601:5c4:c700:c3d0:9048:275:6b5e:533e,9/17/24 19:51,0,114,1,,,,,,,,,US,VA,9/17/24,Tuesday,9-11 pm,3,1,0,0,2,0,20-30 minutes
184818152,Completed,206.248.232.95,9/18/24 19:47,0,37,1,,,,,,,,,US,VA,9/18/24,Wednesday,9-11 pm,0,0,0,0,0,0,0 min
184818222,Completed,206.248.232.95,9/18/24 19:52,0,268,1,,,,,,,,,US,VA,9/16/24,Monday,7-9 pm,6,3,3,0,0,0,10min
184847469,Completed,134.126.153.225,9/19/24 09:53,0,57,1,,,,,,,,,US,VA,9/18/24,Wednesday,5-7 pm,7,4,1,1,1,0,15 mins
184847492,Completed,134.126.153.225,9/19/24 09:54,0,45,1,,,,,,,,,US,VA,9/18/24,Wednesday,7-9 pm,7,2,0,1,2,2,15mins
184864746,Completed,134.126.113.107,9/19/24 18:00,0,158,1,,,,,,,,,US,VA,9/19/24,Thursday,7-9 pm,9,1,2,0,5,1,20 minutes
184974666,Completed,134.126.141.39,9/22/24 14:06,0,325,1,,,,,,,,,US,VA,9/22/24,Sunday,3-5 pm Sunday only,5,2,5,0,0,6,15
184975990,Completed,134.126.141.39,9/22/24 16:10,0,181,1,,,,,,,,,US,VA,9/22/24,Sunday,5-7 pm,17,2,9,0,1,5,10-12 minutes
184977249,Completed,134.126.113.36,9/22/24 18:15,0,272,1,,,,,,,,,US,VA,9/22/24,Sunday,7-9 pm,18,3,12,1,2,1,20
184978134,Completed,73.99.62.213,9/22/24 20:04,0,94,1,,,,,,,,,US,VA,9/22/24,Sunday,9-11 pm,2,0,2,0,0,0,10 minutes
185032019,Completed,134.126.113.125,9/23/24 15:54,0,775,1,,,,,,,,,US,VA,9/23/24,Monday,5-7 pm,10,5,0,0,2,3,10-20 min
185035366,Completed,134.126.113.125,9/23/24 18:06,0,54,1,,,,,,,,,US,VA,9/23/24,Monday,7-9 pm,15,10,0,0,1,4,10-20 minutes
185048157,Completed,75.102.137.39,9/23/24 20:14,0,20,1,,,,,,,,,US,VA,9/23/24,Monday,9-11 pm,0,0,0,0,0,0,0
185100127,Completed,134.126.141.39,9/24/24 16:03,0,235,1,,,,,,,,,US,VA,9/24/24,Tuesday,5-7 pm,15,9,0,0,1,5,10-15 minutes
185108428,Completed,2601:5c4:c780:3b20:41d1:2286:cd0f:f210,9/24/24 19:59,0,95,1,,,,,,,,,US,VA,9/24/24,Tuesday,9-11 pm,1,1,0,0,0,0,10 mins
185161103,Completed,199.87.198.61,9/25/24 20:16,0,103,1,,,,,,,,,US,VA,9/25/24,Wednesday,9-11 pm,4,1,0,1,0,2,15min
185186030,Completed,134.126.113.94,9/26/24 11:29,0,25,1,,,,,,,,,US,VA,9/19/24,Thursday,9-11 pm,0,0,0,0,0,0,
185186119,Completed,134.126.113.94,9/26/24 11:31,0,98,1,,,,,,,,,US,VA,9/25/24,Wednesday,5-7 pm,6,3,1,0,0,2,15 mins
185186267,Completed,134.126.113.94,9/26/24 11:33,0,143,1,,,,,,,,,US,VA,9/25/24,Wednesday,7-9 pm,14,8,1,0,0,5,15 mins
185199125,Completed,134.126.113.28,9/26/24 16:16,0,175,1,,,,,,,,,US,VA,9/26/24,Thursday,5-7 pm,12,1,5,0,2,4,15-25 minutes 
185202342,Completed,2600:1003:b866:de8d:80d:eeb2:fb7d:981d,9/26/24 18:12,0,157,1,,,,,,,,,US,VA,9/26/24,Thursday,7-9 pm,10,0,4,0,3,3,20 minutes 
185271911,Completed,134.126.141.39,9/29/24 14:07,0,7706,1,,,,,,,,,US,VA,9/29/24,Sunday,3-5 pm Sunday only,5,0,18,0,2,0,15-20 minutes
185273095,Completed,134.126.141.39,9/29/24 16:01,0,1497,1,,,,,,,,,US,VA,9/29/24,Sunday,5-7 pm,23,0,22,0,0,1,5-10 minutes
185276052,Completed,73.99.62.213,9/29/24 20:06,0,241,1,,,,,,,,,US,VA,9/29/24,Sunday,9-11 pm,6,0,6,0,0,0,25 minutes
185301390,Completed,134.126.113.125,9/30/24 15:55,0,106,1,,,,,,,,,US,VA,9/30/24,Monday,5-7 pm,14,3,11,0,0,0,20 min
185303749,Completed,134.126.113.125,9/30/24 17:56,0,49,1,,,,,,,,,US,VA,9/30/24,Monday,7-9 pm,2,0,2,0,0,0,10-15 mins
185305508,Completed,75.102.137.39,9/30/24 20:00,0,359,1,,,,,,,,,US,VA,9/30/24,Monday,9-11 pm,2,0,2,0,0,0,10-20 minutes
185337079,Completed,2600:1003:b84c:3685:d115:1b55:a8ce:8727,10/1/24 16:25,0,285,1,,,,,,,,,US,VA,10/1/24,Tuesday,5-7 pm,11,3,1,0,6,1,10-20 minutes
185338702,Completed,134.126.141.39,10/1/24 17:44,0,626,1,,,,,,,,,US,VA,10/1/24,Tuesday,7-9 pm,3,1,0,0,1,6,20-25 minutes
185340827,Completed,2601:5c4:c780:3b20:b500:4c7f:b74d:bef0,10/1/24 19:56,0,32,1,,,,,,,,,US,VA,10/1/24,Tuesday,9-11 pm,1,0,0,0,1,0,10 mins
185362181,Completed,134.126.113.94,10/2/24 10:14,0,79,1,,,,,,,,,US,VA,9/26/24,Thursday,9-11 pm,3,0,0,0,1,2,20 mins
185380901,Completed,199.87.198.61,10/2/24 20:09,0,1511,1,,,,,,,,,US,VA,10/2/24,Wednesday,9-11 pm,4,0,0,0,3,1,15-20 min
185411731,Completed,134.126.113.36,10/3/24 16:35,0,152,1,,,,,,,,,US,VA,10/3/24,Thursday,5-7 pm,9,1,3,0,5,0,15-25 minutes
185413446,Completed,2600:1003:b84d:27fd:fd74:f0f9:b548:4338,10/3/24 18:08,0,331,1,,,,,,,,,US,VA,10/3/24,Thursday,7-9 pm,10,1,4,0,4,1,20 minutes 
185487350,Completed,134.126.141.39,10/6/24 16:03,0,258,1,,,,,,,,,US,VA,10/6/24,Sunday,3-5 pm Sunday only,21,1,13,0,5,2,10-15 minutes
185487499,Completed,134.126.141.39,10/6/24 16:09,0,350,1,,,,,,,,,US,VA,10/6/24,Sunday,5-7 pm,17,1,5,0,8,3,10-15 minutes
185489855,Completed,73.99.62.213,10/6/24 20:09,0,122,1,,,,,,,,,US,VA,10/6/24,Sunday,9-11 pm,7,0,4,0,3,0,20 minutes
185489979,Completed,2600:381:f303:afae:6446:189c:a356:67e7,10/6/24 20:23,0,106,1,,,,,,,,,US,,10/6/24,Sunday,7-9 pm,20,0,12,0,6,2,15-20 minutes 
185521150,Completed,134.126.113.125,10/7/24 16:01,0,255,1,,,,,,,,,US,VA,10/7/24,Monday,5-7 pm,19,1,2,0,9,7,10--20
185523511,Completed,134.126.113.123,10/7/24 18:01,0,99,1,,,,,,,,,US,VA,10/7/24,Monday,7-9 pm,19,1,0,0,15,3,10-20 mins
185525550,Completed,75.102.137.39,10/7/24 20:15,0,150,1,,,,,,,,,US,VA,10/7/24,Monday,9-11 pm,6,0,0,0,6,0,20 minutes
185565128,Completed,134.126.141.39,10/8/24 16:05,0,26,1,,,,,,,,,US,VA,10/8/24,Tuesday,5-7 pm,6,1,2,0,3,7,15-20 minutes
185567862,Completed,134.126.141.39,10/8/24 18:14,0,5,1,,,,,,,,,US,VA,10/8/24,Tuesday,7-9 pm,5,1,3,0,3,4,10 - 20 minutes
185569641,Completed,2601:5c4:c780:3b20:dd88:621:58b0:a375,10/8/24 20:10,0,82,1,,,,,,,,,US,VA,10/8/24,Tuesday,9-11 pm,3,0,0,0,3,0,20-30 mins
185608304,Completed,199.87.198.61,10/9/24 19:56,0,69,1,,,,,,,,,US,VA,10/9/24,Wednesday,9-11 pm,0,0,0,0,0,0,0
185734202,Completed,134.126.141.39,10/13/24 14:07,0,7500,1,,,,,,,,,US,VA,10/13/24,Sunday,3-5 pm Sunday only,2,0,3,0,0,0,15 minutes
185735379,Completed,134.126.141.39,10/13/24 15:59,0,439,1,,,,,,,,,US,VA,10/13/24,Sunday,5-7 pm,2,0,2,0,0,0,5-10 minutes
185770560,Completed,134.126.113.125,10/14/24 16:01,0,71,1,,,,,,,,,US,VA,10/14/24,Monday,5-7 pm,9,0,2,0,2,5,10-20 min
185773791,Completed,134.126.113.123,10/14/24 17:58,0,50,1,,,,,,,,,US,VA,10/14/24,Monday,7-9 pm,4,0,3,0,1,0,10-15 mins
185776340,Completed,75.102.137.39,10/14/24 20:09,0,21,1,,,,,,,,,US,VA,10/14/24,Monday,9-11 pm,0,0,0,0,0,0,
186031920,Completed,134.126.113.125,10/21/24 15:56,0,430,1,,,,,,,,,US,VA,10/21/24,Monday,5-7 pm,24,0,22,0,0,2,5-10 min
186033944,Completed,134.126.113.123,10/21/24 17:57,0,28,1,,,,,,,,,US,VA,10/21/24,Monday,7-9 pm,10,0,8,0,1,1,10-15 mins
186035584,Completed,75.102.137.39,10/21/24 19:59,0,45,1,,,,,,,,,US,VA,10/21/24,Monday,9-11 pm,1,0,1,0,0,0,40 minutes
186076857,Completed,134.126.141.39,10/22/24 18:11,0,316,1,,,,,,,,,US,VA,10/22/24,Tuesday,7-9 pm,61,1,12,0,1,3,10-20 minutes
186077911,Completed,75.102.137.39,10/22/24 19:17,0,368,1,,,,,,,,,US,VA,10/22/24,Tuesday,5-7 pm,14,0,11,0,0,3,10-20 minutes
186078605,Completed,2601:5c4:c780:3b20:a8b5:efd6:2146:c96,10/22/24 20:03,0,75,1,,,,,,,,,US,VA,10/22/24,Tuesday,9-11 pm,8,0,8,0,0,0,15-20 mins
186118635,Completed,199.87.199.36,10/23/24 18:50,0,107,1,,,,,,,,,US,VA,10/23/24,Wednesday,5-7 pm,4,0,4,0,0,0,15 mins
186118659,Completed,199.87.199.36,10/23/24 18:52,0,72,1,,,,,,,,,US,VA,10/23/24,Wednesday,7-9 pm,16,4,11,0,0,1,20 mins
186119811,Completed,199.87.198.61,10/23/24 19:56,0,81,1,,,,,,,,,US,VA,10/23/24,Wednesday,9-11 pm,5,0,5,0,0,0,5-10 min
186158678,Completed,134.126.141.39,10/24/24 16:15,0,135,1,,,,,,,,,US,VA,10/24/24,Thursday,5-7 pm,5,7,5,0,2,2,20 minutes
186161003,Completed,134.126.113.86,10/24/24 18:00,0,117,1,,,,,,,,,US,VA,10/24/24,Thursday,7-9 pm,10,5,5,0,0,0,15-20 minutes
186232752,Completed,134.126.141.39,10/27/24 14:35,0,9307,1,,,,,,,,,US,VA,10/27/24,Sunday,3-5 pm Sunday only,4,1,3,0,2,1,15 minutes
186233443,Completed,134.126.141.39,10/27/24 15:57,0,1730,1,,,,,,,,,US,VA,10/27/24,Sunday,5-7 pm,7,0,4,0,3,0,5-10 minutes
186234601,Completed,134.126.113.36,10/27/24 18:06,0,190,1,,,,,,,,,US,VA,10/27/24,Sunday,7-9 pm,2,0,2,0,0,0,20 Minutes
186235822,Completed,73.99.62.213,10/27/24 20:00,0,42,1,,,,,,,,,US,VA,10/27/24,Sunday,9-11 pm,1,0,1,0,0,0,20 minutes
186268265,Completed,134.126.113.125,10/28/24 15:52,0,398,1,,,,,,,,,US,VA,10/28/24,Monday,5-7 pm,12,5,4,0,1,2,10-20 min
186270806,Completed,134.126.113.123,10/28/24 18:00,0,26,1,,,,,,,,,US,VA,10/28/24,Monday,7-9 pm,7,1,2,0,0,4,10-15 mins
186274264,Completed,75.102.137.39,10/28/24 20:01,0,55,1,,,,,,,,,US,VA,10/28/24,Monday,9-11 pm,3,0,3,0,0,0,10-20 minutes
186309771,Completed,134.126.141.39,10/29/24 18:23,0,133,1,,,,,,,,,US,VA,10/29/24,Tuesday,7-9 pm,3,4,2,0,1,8,10-25 minutes
186311908,Completed,73.147.49.252,10/29/24 19:57,0,27,1,,,,,,,,,US,VA,10/29/24,Tuesday,9-11 pm,3,0,3,0,0,0,15-20 mins
186346215,Completed,199.87.198.61,10/30/24 20:00,0,45,1,,,,,,,,,US,VA,10/30/24,Wednesday,9-11 pm,3,0,2,0,1,0,10-20min
186376621,Completed,134.126.113.86,10/31/24 17:58,0,128,1,,,,,,,,,US,VA,10/31/24,Thursday,7-9 pm,9,1,1,0,0,7,20 minutes
186434513,Completed,134.126.141.39,11/3/24 15:12,0,1,1,,,,,,,,,US,VA,11/3/24,Sunday,3-5 pm Sunday only,4,0,11,0,2,1,15-20 minutes
186436249,Completed,134.126.113.36,11/3/24 19:20,0,451,1,,,,,,,,,US,VA,11/3/24,Sunday,7-9 pm,21,0,14,0,7,0,5-20 minutes
186436520,Completed,75.102.137.39,11/3/24 19:57,0,238,1,,,,,,,,,US,VA,11/3/24,Sunday,5-7 pm,24,0,16,0,6,2,10-15 minutes
186436951,Completed,73.99.62.213,11/3/24 21:02,0,66,1,,,,,,,,,US,VA,11/3/24,Sunday,9-11 pm,4,0,3,0,1,0,20 minutes
186464268,Completed,134.126.141.39,11/4/24 17:09,0,1,1,,,,,,,,,US,VA,11/4/24,Monday,5-7 pm,5,2,7,0,5,8,20-25
186465805,Completed,134.126.113.123,11/4/24 18:58,0,49,1,,,,,,,,,US,VA,11/4/24,Monday,7-9 pm,7,2,0,0,1,4,10-15 mins
186467123,Completed,75.102.137.39,11/4/24 21:00,0,653,1,,,,,,,,,US,VA,11/4/24,Monday,9-11 pm,3,0,2,0,1,0,5-10 minutes
186497099,Completed,134.126.141.39,11/5/24 18:57,0,2186,1,,,,,,,,,US,VA,11/5/24,Tuesday,7-9 pm,4,3,0,0,1,5,15-20 minutes
186498271,Completed,75.102.137.39,11/5/24 21:03,0,97,1,,,,,,,,,US,VA,11/5/24,Tuesday,5-7 pm,13,4,0,0,0,9,10-15 minutes
186498285,Completed,75.102.137.39,11/5/24 21:05,0,85,1,,,,,,,,,US,VA,11/5/24,Tuesday,9-11 pm,2,0,1,0,0,1,10-20 minutes
186530082,Completed,199.87.198.61,11/6/24 21:02,0,77,1,,,,,,,,,US,VA,11/6/24,Wednesday,9-11 pm,2,0,1,0,0,1,10-20 min
186561582,Completed,134.126.113.86,11/7/24 19:12,0,147,1,,,,,,,,,US,VA,11/7/24,Thursday,7-9 pm,17,9,1,0,0,7,15 minutes
186630408,Completed,134.126.141.39,11/10/24 15:21,0,10715,1,,,,,,,,,US,VA,11/10/24,Sunday,3-5 pm Sunday only,2,1,2,0,0,0,20 minutes
186631319,Completed,134.126.141.39,11/10/24 16:58,0,480,1,,,,,,,,,US,VA,11/10/24,Sunday,5-7 pm,6,0,2,0,0,4,5-10 minutes
186632607,Completed,2600:381:e605:c0e2:e462:a64d:e4ba:fe2b,11/10/24 19:01,0,221,1,,,,,,,,,US,FL,11/10/24,Sunday,7-9 pm,3,0,2,0,0,1,20-30 minutes
186634273,Completed,73.99.62.213,11/10/24 22:04,0,32,1,,,,,,,,,US,VA,11/11/24,Sunday,9-11 pm,0,0,0,0,0,0,0
186662765,Completed,134.126.113.123,11/11/24 17:15,0,77,1,,,,,,,,,US,VA,11/11/24,Monday,5-7 pm,10,5,4,0,0,1,10-15 mins
186664290,Completed,134.126.113.125,11/11/24 18:49,0,111,1,,,,,,,,,US,VA,11/11/24,Monday,7-9 pm,8,3,3,0,0,2,10-20min
186665927,Completed,75.102.137.39,11/11/24 21:05,0,80,1,,,,,,,,,US,VA,11/11/24,Monday,9-11 pm,0,0,0,0,0,0,0
186696784,Completed,134.126.141.39,11/12/24 19:14,0,1,1,,,,,,,,,US,VA,11/12/24,Tuesday,7-9 pm,3,2,0,0,0,1,25 minutes
186697801,Completed,73.147.49.252,11/12/24 20:56,0,52,1,,,,,,,,,US,VA,11/12/24,Tuesday,9-11 pm,1,0,1,0,0,0,20 mins
186734671,Completed,199.87.198.61,11/13/24 22:04,0,43,1,,,,,,,,,US,VA,11/14/24,Wednesday,9-11 pm,1,0,0,0,0,1,10min
186770360,Completed,134.126.113.86,11/14/24 19:04,0,107,1,,,,,,,,,US,VA,11/14/24,Thursday,7-9 pm,10,8,0,0,2,0,20 minutes
186772003,Completed,134.126.113.36,11/14/24 20:52,0,213,1,,,,,,,,,US,VA,11/14/24,Thursday,5-7 pm,8,8,0,0,0,0,15-30 minutes
186834024,Completed,134.126.141.39,11/17/24 15:15,0,7723,1,,,,,,,,,US,VA,11/17/24,Sunday,3-5 pm Sunday only,3,1,2,0,0,4,10-20 minutes
186835868,Completed,134.126.113.123,11/17/24 18:56,0,39,1,,,,,,,,,US,VA,11/17/24,Sunday,7-9 pm,1,0,1,0,0,0,10-15 mins
186836108,Completed,75.102.137.39,11/17/24 19:23,0,330,1,,,,,,,,,US,VA,11/17/24,Sunday,5-7 pm,12,1,3,0,3,5,10-15 minutes
186837159,Completed,73.99.62.213,11/17/24 21:17,0,29,1,,,,,,,,,US,VA,11/17/24,Sunday,9-11 pm,0,0,0,0,0,0,0 minutes
186882669,Completed,134.126.113.125,11/18/24 17:03,0,218,1,,,,,,,,,US,VA,11/18/24,Monday,5-7 pm,9,2,3,0,3,1,10-20min
186884687,Completed,134.126.113.123,11/18/24 18:56,0,33,1,,,,,,,,,US,VA,11/18/24,Monday,7-9 pm,6,4,0,0,0,2,10-15 mins
186886593,Completed,75.102.137.39,11/18/24 20:58,0,716,1,,,,,,,,,US,VA,11/18/24,Monday,9-11 pm,0,0,0,0,0,0,
186904980,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:16,0,60,1,,,,,,,,,US,VA,11/13/24,Wednesday,5-7 pm,2,1,1,0,0,0,
186905043,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:17,0,72,1,,,,,,,,,US,VA,11/13/24,Wednesday,7-9 pm,8,6,0,0,0,2,15 mins
186905099,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:18,0,69,1,,,,,,,,,US,VA,11/6/24,Wednesday,7-9 pm,6,1,0,0,0,5,15 mins
186905137,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:19,0,50,1,,,,,,,,,US,VA,11/6/24,Wednesday,5-7 pm,7,2,0,0,0,5,15-20 mins
186905199,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:20,0,52,1,,,,,,,,,US,VA,11/14/24,Thursday,9-11 pm,0,0,0,0,0,0,
186905261,Completed,2a09:bac2:c5dd:188c::272:4f,11/19/24 09:21,0,55,1,,,,,,,,,US,VA,11/7/24,Thursday,9-11 pm,2,0,0,0,0,2,30 mins
186928080,Completed,134.126.141.39,11/19/24 19:07,0,3910,1,,,,,,,,,US,VA,11/19/24,Tuesday,7-9 pm,4,1,1,0,4,3,10-25 mins
186929839,Completed,73.147.49.252,11/19/24 20:57,0,29,1,,,,,,,,,US,VA,11/19/24,Tuesday,9-11 pm,2,1,0,0,0,1,30 mins
186932232,Completed,75.102.137.39,11/19/24 23:04,0,139,1,,,,,,,,,US,VA,11/19/24,Tuesday,5-7 pm,15,2,3,0,5,5,10-15 minutes
186970371,Completed,199.87.198.61,11/20/24 20:59,0,26,1,,,,,,,,,US,VA,11/20/24,Wednesday,9-11 pm,0,0,0,0,0,0,0
187008052,Completed,134.126.113.123,11/21/24 17:05,0,133,1,,,,,,,,,US,VA,11/21/24,Thursday,5-7 pm,12,4,2,0,5,1,20 mins
187010289,Completed,134.126.113.86,11/21/24 19:05,0,113,1,,,,,,,,,US,VA,11/21/24,Thursday,7-9 pm,13,5,2,0,3,3,15 minutes
187404663,Completed,134.126.141.39,12/2/24 17:05,0,1063,1,,,,,,,,,US,VA,12/2/24,Monday,5-7 pm,3,4,6,0,2,1,20-30 minutes
187407487,Completed,134.126.113.123,12/2/24 18:55,0,107,1,,,,,,,,,US,VA,12/2/24,Monday,7-9 pm,9,4,1,0,1,3,10-15 mins
187410872,Completed,75.102.137.39,12/2/24 21:20,0,80,1,,,,,,,,,US,VA,12/2/24,Monday,9-11 pm,2,0,1,0,0,1,20-30 minutes
187445567,Completed,134.126.113.123,12/3/24 17:01,0,44,1,,,,,,,,,US,VA,12/3/24,Tuesday,5-7 pm,12,4,4,0,1,2,10-15 mins
187449168,Completed,75.102.137.39,12/3/24 21:02,0,167,1,,,,,,,,,US,VA,12/3/24,Tuesday,9-11 pm,0,0,0,0,0,0,
